team,team_score,opponent,opponent_score,predicted_winner
ATL,41,PHI,18,ATL
ATL,19,TB,40,TB
ATL,15,NYG,44,NYG
ATL,23,WAS,36,WAS
ATL,45,NYJ,14,ATL
ATL,37,MIA,22,ATL
ATL,30,CAR,29,ATL
ATL,23,NO,36,NO
ATL,18,DAL,41,DAL
ATL,14,NE,45,NE
ATL,30,JAX,29,ATL
ATL,7,TB,52,TB
ATL,35,CAR,24,ATL
ATL,14,SF,45,SF
ATL,27,DET,32,DET
ATL,10,BUF,49,BUF
ATL,22,NO,37,NO
