team,team_score,opponent,opponent_score,predicted_winner
CHI,17,GB,42,GB
CHI,30,TB,29,CHI
CHI,6,KC,53,KC
CHI,10,DEN,49,DEN
CHI,26,WAS,33,WAS
CHI,20,MIN,39,MIN
CHI,27,LV,32,LV
CHI,19,LAC,40,LAC
CHI,8,NO,51,NO
CHI,35,CAR,24,CHI
CHI,10,DET,49,DET
CHI,21,MIN,38,MIN
CHI,4,DET,55,DET
CHI,35,CLE,24,CHI
CHI,28,ARI,31,ARI
CHI,13,ATL,46,ATL
CHI,17,GB,42,GB
