team,team_score,opponent,opponent_score,predicted_winner
WAS,33,JAX,24,WAS
WAS,37,DET,22,WAS
WAS,23,PHI,36,PHI
WAS,34,DAL,25,WAS
WAS,29,TEN,30,TEN
WAS,28,CHI,31,CHI
WAS,27,GB,32,GB
WAS,38,IND,21,WAS
WAS,29,MIN,30,MIN
WAS,27,PHI,32,PHI
WAS,32,HOU,27,WAS
WAS,21,ATL,38,ATL
WAS,30,NYG,29,WAS
WAS,32,NYG,27,WAS
WAS,14,SF,45,SF
WAS,27,CLE,32,CLE
WAS,16,DAL,43,DAL
