team,team_score,opponent,opponent_score,predicted_winner
ARI,28,WAS,31,WAS
ARI,36,NYG,23,ARI
ARI,15,DAL,44,DAL
ARI,23,SF,36,SF
ARI,50,CIN,9,ARI
ARI,33,LA,26,ARI
ARI,30,SEA,29,ARI
ARI,20,BAL,39,BAL
ARI,44,CLE,15,ARI
ARI,15,ATL,44,ATL
ARI,22,HOU,37,HOU
ARI,23,LA,36,LA
ARI,33,PIT,26,ARI
ARI,10,SF,49,SF
ARI,25,CHI,34,CHI
ARI,10,PHI,49,PHI
ARI,16,SEA,43,SEA
